02012015	-2
03012015	-1
04012015	1
05012015	1
06012015	-1
07012015	0
08012015	4
09012015	0
10012015	4
11012015	-1
12012015	2
13012015	1
14012015	4
15012015	-1
16012015	5
17012015	3
18012015	1
19012015	-1
20012015	2
21012015	2
22012015	2
23012015	1
24012015	-1
25012015	-2
26012015	1
27012015	-1
28012015	-2
29012015	0
30012015	0
31012015	-3
01022015	-2
02022015	-4
03022015	0
04022015	3
05022015	0
06022015	0
07022015	0
08022015	-2
09022015	-3
10022015	-2
11022015	-1
12022015	-2
13022015	3
14022015	4
15022015	2
16022015	3
17022015	5
18022015	3
19022015	0
20022015	-1
21022015	5
22022015	4
23022015	-1
24022015	3
25022015	4
26022015	4
27022015	6
28022015	4
01032015	2
02032015	7
03032015	2
04032015	2
05032015	3
06032015	-1
07032015	3
08032015	1
09032015	3
10032015	2
11032015	5
12032015	4
13032015	2
14032015	7
15032015	7
16032015	7
17032015	8
18032015	4
19032015	5
20032015	7
21032015	9
22032015	6
23032015	3
24032015	10
25032015	9
26032015	9
27032015	6
28032015	4
29032015	6
30032015	8
31032015	10
01042015	13
02042015	5
03042015	8
04042015	8
05042015	6
06042015	3
07042015	6
08042015	3
09042015	7
10042015	8
11042015	8
12042015	8
13042015	10
14042015	13
15042015	11
16042015	11
17042015	12
18042015	9
19042015	8
20042015	5
21042015	8
22042015	10
23042015	15
24042015	14
25042015	13
26042015	14
27042015	13
28042015	13
29042015	12
30042015	12
01052015	13
02052015	12
03052015	16
04052015	17
05052015	16
06052015	17
07052015	14
08052015	16
09052015	13
10052015	13
11052015	13
12052015	15
13052015	18
14052015	17
15052015	13
16052015	13
17052015	16
18052015	18
19052015	18
20052015	14
21052015	10
22052015	12
23052015	13
24052015	10
25052015	13
26052015	15
27052015	12
28052015	14
29052015	15
30052015	16
31052015	17
01062015	18
02062015	17
03062015	18
04062015	19
05062015	21
06062015	23
07062015	22
08062015	21
09062015	19
10062015	19
11062015	17
12062015	19
13062015	19
14062015	17
15062015	18
16062015	17
17062015	17
18062015	17
19062015	19
20062015	17
21062015	17
22062015	17
23062015	20
24062015	15
25062015	17
26062015	17
27062015	19
28062015	19
29062015	21
30062015	21
01072015	21
02072015	22
03072015	22
04072015	22
05072015	24
06072015	24
07072015	26
09072015	23
10072015	21
11072015	20
12072015	22
13072015	25
14072015	24
15072015	24
16072015	25
17072015	24
18072015	23
19072015	22
20072015	25
21072015	23
22072015	24
25072015	20
26072015	22
27072015	23
28072015	22
29072015	23
30072015	21
31072015	20
01082015	18
02082015	17
03082015	20
04082015	21
05082015	22
06082015	23
07082015	24
08082015	25
09082015	23
10082015	19
11082015	20
12082015	22
13082015	23
14082015	22
15082015	18
16082015	17
17082015	18
18082015	18
19082015	17
20082015	17
21082015	18
22082015	19
23082015	18
24082015	17
25082015	19
26082015	17
27082015	18
28082015	19
29082015	21
30082015	20
31082015	20
01092015	19
02092015	19
03092015	18
04092015	18
05092015	15
06092015	12
07092015	14
08092015	17
09092015	15
10092015	16
11092015	16
12092015	16
13092015	17
14092015	17
15092015	18
16092015	18
17092015	15
18092015	17
19092015	14
20092015	13
21092015	13
22092015	16
23092015	11
24092015	8
25092015	11
26092015	13
27092015	16
28092015	15
29092015	11
30092015	12
01102015	9
02102015	13
03102015	13
04102015	15
05102015	12
06102015	15
07102015	14
08102015	16
09102015	14
10102015	14
11102015	12
12102015	13
13102015	14
14102015	14
15102015	11
16102015	8
17102015	7
18102015	11
19102015	8
20102015	10
21102015	6
22102015	5
23102015	7
24102015	6
25102015	8
26102015	7
27102015	6
28102015	11
29102015	12
30102015	10
31102015	8
01112015	7
02112015	5
03112015	5
04112015	6
05112015	7
06112015	8
07112015	6
08112015	7
09112015	6
10112015	7
11112015	7
12112015	7
13112015	5
14112015	9
15112015	9
16112015	8
17112015	8
18112015	7
19112015	9
20112015	11
21112015	5
22112015	3
23112015	4
24112015	-1
25112015	1
26112015	-1
27112015	-3
28112015	-2
29112015	-1
30112015	-1
01122015	-1
02122015	1
03122015	3
04122015	1
05122015	4
06122015	5
07122015	4
08122015	3
09122015	4
10122015	1
11122015	0
12122015	0
13122015	4
14122015	4
15122015	3
16122015	5
17122015	2
18122015	1
19122015	1
20122015	1
21122015	7
22122015	6
23122015	7
24122015	6
25122015	2
26122015	1
27122015	0
28122015	0
29122015	-2
30122015	2
31122015	1
